"year","overall","to","pos","gp","ps"
1996,1,2015,"D",1179,64.6
1996,2,2008,"D",496,25.8
1996,3,2011,"RW",822,56.6
1996,4,2000,"C",3,0
1996,5,2007,"D",231,8.8
1996,6,2009,"C",627,12.5
1996,7,2007,"LW/C",545,9.2
1996,8,2004,"D",44,0
1996,9,2011,"D",917,46.9
1996,10,2004,"D",209,2.7
1996,11,2004,"D",82,0
1996,12,2004,"C",60,0.6
1996,13,2014,"D",1107,74.6
1996,14,2013,"C",798,17.7
1996,15,2016,"RW",1293,52
1996,16,1999,"D",5,0
1996,17,2000,"RW",113,3.5
1996,18,2001,"C",57,0
1996,19,2001,"D",5,0.3
1996,20,2008,"LW",521,12.8
1996,21,2012,"LW",938,54
1996,22,1996,"D",0,0
1996,23,1996,"G",0,0
1996,24,2015,"C",973,78.5
1996,25,2001,"D",32,0.6
1996,26,2003,"D",49,0.2
1996,27,2014,"D",969,36
1996,28,2002,"D",12,0.2
1996,29,2009,"LW",337,0
1996,30,2012,"LW",341,5.1
1996,31,1999,"D",18,0
1996,32,2004,"D",6,0
1996,33,1996,"LW",0,0
1996,34,1996,"LW",0,0
1996,35,2019,"C",1516,66
1996,36,2001,"D",19,0.6
1996,37,2002,"RW",73,2.6
1996,38,1996,"LW",0,0
1996,39,2004,"LW",55,0
1996,40,2013,"C",524,6.6
1996,41,1996,"D",0,0
1996,42,2003,"D",2,0
1996,43,2007,"C",552,22
1996,44,2013,"G",341,49
1996,45,1996,"RW",0,0
1996,46,1996,"C",0,0
1996,47,2006,"RW",142,7.3
1996,48,2000,"LW",53,0.7
1996,49,2012,"D",797,42.1
1996,50,1996,"G",0,0
1996,51,2001,"C",3,0
1996,52,1996,"G",0,0
1996,53,1996,"LW",0,0
1996,54,1996,"C",0,0
1996,55,1996,"G",0,0
1996,56,2022,"D",1680,155.1
1996,57,1996,"RW",0,0
1996,58,1996,"D",0,0
1996,59,2013,"D",824,58.9
1996,60,1999,"D",2,0.1
1996,61,1996,"RW",0,0
1996,62,1996,"D",0,0
1996,63,2008,"RW",308,0.3
1996,64,1996,"RW",0,0
1996,65,2006,"LW/C",493,19.5
