"year","overall","to","pos","ps","gp","adj_ps","reg"
1996,1,2015,"D",64.6,1179,64.6,TRUE
1996,2,2008,"D",25.8,496,25.8,TRUE
1996,3,2011,"F",56.6,822,56.6,TRUE
1996,4,2000,"F",0,3,0,FALSE
1996,5,2007,"D",8.8,231,8.8,TRUE
1996,6,2009,"F",12.5,627,12.5,TRUE
1996,7,2007,"F",9.2,545,9.2,TRUE
1996,8,2004,"D",0,44,0,FALSE
1996,9,2011,"D",46.9,917,46.9,TRUE
1996,10,2004,"D",2.7,209,2.7,TRUE
1996,11,2004,"D",0,82,0,FALSE
1996,12,2004,"F",0.6,60,0.6,FALSE
1996,13,2014,"D",74.6,1107,74.6,TRUE
1996,14,2013,"F",17.7,798,17.7,TRUE
1996,15,2016,"F",52,1293,52,TRUE
1996,16,1999,"D",0,5,0,FALSE
1996,17,2000,"F",3.5,113,3.5,FALSE
1996,18,2001,"F",0,57,0,FALSE
1996,19,2001,"D",0.3,5,0.3,FALSE
1996,20,2008,"F",12.8,521,12.8,TRUE
1996,21,2012,"F",54,938,54,TRUE
1996,22,1996,"D",0,0,0,FALSE
1996,23,1996,"G",0,0,0,FALSE
1996,24,2015,"F",78.5,973,78.5,TRUE
1996,25,2001,"D",0.6,32,0.6,FALSE
1996,26,2003,"D",0.2,49,0.2,FALSE
1996,27,2014,"D",36,969,36,TRUE
1996,28,2002,"D",0.2,12,0.2,FALSE
1996,29,2009,"F",0,337,0,TRUE
1996,30,2012,"F",5.1,341,5.1,TRUE
1996,31,1999,"D",0,18,0,FALSE
1996,32,2004,"D",0,6,0,FALSE
1996,33,1996,"F",0,0,0,FALSE
1996,34,1996,"F",0,0,0,FALSE
1996,35,2019,"F",66,1516,66,TRUE
1996,36,2001,"D",0.6,19,0.6,FALSE
1996,37,2002,"F",2.6,73,2.6,FALSE
1996,38,1996,"F",0,0,0,FALSE
1996,39,2004,"F",0,55,0,FALSE
1996,40,2013,"F",6.6,524,6.6,TRUE
1996,41,1996,"D",0,0,0,FALSE
1996,42,2003,"D",0,2,0,FALSE
1996,43,2007,"F",22,552,22,TRUE
1996,44,2013,"G",49,341,49,TRUE
1996,45,1996,"F",0,0,0,FALSE
1996,46,1996,"F",0,0,0,FALSE
1996,47,2006,"F",7.3,142,7.3,FALSE
1996,48,2000,"F",0.7,53,0.7,FALSE
1996,49,2012,"D",42.1,797,42.1,TRUE
1996,50,1996,"G",0,0,0,FALSE
1996,51,2001,"F",0,3,0,FALSE
