"overall","mean_ps","mean_gp","mean_adj_ps","suc_rate"
1,96.248,895.04,112.902,1
2,77.344,876.52,87.0592,1
3,54.34,777.56,63.388,0.96
4,50.264,613.48,59.3948,0.88
5,45.06,655.8,51.6224,0.84
6,33.896,559.92,40.2704,0.88
7,39.228,631.8,47.2648,0.88
8,23.048,414.8,27.9672,0.72
9,32.744,550.72,39.4252,0.88
10,17.644,360.96,22.7676,0.76
11,26.352,374.4,29.4928,0.6
12,36.02,536.56,41.7624,0.76
13,27.284,506.32,31.7412,0.76
14,27.44,476.56,32.212,0.68
15,20.996,324.56,25.6596,0.52
16,18.636,367.6,23.7128,0.68
17,22.192,439.88,25.9116,0.68
18,16.32,342.56,20.5236,0.56
19,21.516,329.72,25.0188,0.52
20,21.976,419.48,25.5616,0.68
21,18.296,378.88,19.6332,0.72
22,21.148,326.92,24.7112,0.48
23,20.564,357.44,23.644,0.6
24,24.672,413.56,27.606,0.56
25,18.488,320.08,21.5084,0.52
26,25.344,372.48,29.766,0.56
27,14.588,291.64,15.992,0.44
28,19.288,328.72,21.5168,0.36
29,14.424,266.8,16.5232,0.44
30,9.708,250.52,12.142,0.4
31,6.052,97.84,6.6296,0.2
32,5.344,124.52,6.3992,0.2
33,12.604,263.68,13.968,0.36
34,7.828,127.92,10.1696,0.36
35,12.236,249,14.904,0.32
36,6.444,130.36,8.1828,0.28
37,9.868,180.2,11.9696,0.28
38,11.476,211.88,13.3416,0.4
39,11.536,159.2,15.6228,0.28
40,6.276,142.2,7.138,0.28
41,4.976,117.84,5.4512,0.24
42,6.02,153.6,7.6772,0.32
43,14.076,256.2,15.8612,0.4
44,18.8,276.24,19.928,0.4
45,14.456,213,15.9116,0.36
46,8.816,155.88,10.0968,0.32
47,11.424,256.52,13.0048,0.36
48,3.732,69,3.8212,0.12
49,16.3916666666667,224.666666666667,18.925,0.375
50,4.336,146.84,4.7256,0.2
51,6.508,138,6.9492,0.16
52,6.56,139,7.6136,0.24
53,8.192,154.12,10.476,0.2
54,10.144,177.4,10.974,0.28
55,16.524,315.12,19.1752,0.48
56,11.124,197.56,12.4608,0.32
57,3.916,159.92,4.6016,0.28
58,11.044,198.68,13.3132,0.36
59,5.356,85.84,5.826,0.12
60,8.972,182.4,10.4052,0.36
61,9.324,191.64,9.554,0.24
62,14.072,160.48,15.256,0.24
63,8.732,163.24,9.2972,0.36
64,12.852,149.96,13.9624,0.16
65,3.152,86.72,3.5452,0.12
66,10.292,176.2,12.9324,0.28
67,4.992,158.8,5.9492,0.2
68,1.544,83.92,1.8272,0.12
69,9.50416666666667,166.583333333333,9.98416666666667,0.291666666666667
70,2.964,90.36,2.964,0.2
71,14.904,242.2,15.6632,0.28
72,7.448,120.44,8.3064,0.16
73,6.616,81.52,6.804,0.12
74,4.232,75.24,5.0948,0.16
75,6.812,120.12,7.9464,0.2
