"","x"
"1",674.535062143225
"2",269.396356088161
"3",591.001308317439
"4",0
"5",91.8871292083651
"6",130.521490352791
"7",96.0638168996544
"8",0
"9",489.716631803673
"10",28.1926419162029
"11",0
"12",6.26503153693398
"13",778.952254425458
"14",184.818430339552
"15",542.969399867612
"16",0
"17",36.5460172987816
"18",0
"19",3.13251576846699
"20",133.654006121258
"21",563.852838324058
"22",0
"23",0
"24",819.674959415529
"25",6.26503153693398
"26",2.08834384564466
"27",375.901892216039
"28",2.08834384564466
"29",0
"30",53.2527680639388
"31",0
"32",0
"33",0
"34",0
"35",689.153469062738
"36",6.26503153693398
"37",27.1484699933806
"38",0
"39",0
"40",68.9153469062738
"41",0
"42",0
"43",229.717823020913
"44",511.644242182942
"45",0
"46",0
"47",76.2245503660301
"48",7.30920345975631
"49",439.596379508201
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",1619.51065229743
"57",0
"58",0
"59",615.017262542353
"60",1.04417192282233
"61",0
"62",0
"63",3.13251576846699
"64",0
"65",203.613524950354
"66",0
"67",0
"68",0
"69",0
"70",117.991427278923
"71",175.420883034152
"72",0
"73",0
"74",0
"75",5.22085961411165
"76",0
"77",0
"78",0
"79",444.817239122313
"80",0
"81",4.17668769128932
"82",5.22085961411165
"83",0
"84",0
"85",0
"86",0
"87",0
"88",5.22085961411165
"89",537.7485402535
"90",0
"91",4.17668769128932
"92",0
"93",0
"94",0
"95",0
"96",301.765685695653
"97",0
"98",0
"99",0
"100",8.35337538257864
"101",0
"102",84.5779257486088
"103",0
"104",0
"105",712.125251364829
"106",0
"107",0
"108",0
"109",18.7950946108019
"110",0
"111",0
"112",0
"113",0
"114",0
"115",6.26503153693398
"116",0
"117",0
"118",0
"119",40.7227049900709
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",1.04417192282233
"134",0
"135",0
"136",207.790212641644
"137",0
"138",0
"139",259.99880878276
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",61.6061434465175
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",331.002499534679
"155",0
"156",0
"157",4.17668769128932
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",32.3693296074922
"168",0
"169",27.1484699933806
"170",0
"171",0
"172",0
"173",0
"174",151.404928809238
"175",0
"176",41.7668769128932
"177",0
"178",0
"179",669.314202529114
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",8.35337538257864
"187",0
"188",0
"189",0
"190",63.6944872921622
"191",0
"192",4.17668769128932
"193",27.1484699933806
"194",85.6220976714311
"195",164.979163805928
"196",1.04417192282233
"197",0
"198",0
"199",605.619715236952
"200",0
"201",0
"202",0
"203",0
"204",908.429572855428
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",28.1926419162029
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",19.8392665336243
"224",0
"225",1703.04440612322
"226",1397.10203273628
"227",748.671268663611
"228",2274.20644790704
"229",508.511726414475
"230",12.530063073868
"231",431.243004125622
"232",636.944872921622
"233",313.251576846699
"234",52.2085961411165
"235",43.8552207585379
"236",1505.6959127098
"237",366.504344910638
"238",0
"239",0
"240",0
"241",10.4417192282233
"242",9.39754730540097
"243",0
"244",2.08834384564466
"245",89.7987853627204
"246",0
"247",530.439336793744
"248",5.22085961411165
"249",693.330156754027
"250",0
"251",102.328848436588
"252",4.17668769128932
"253",13.5742349966903
"254",0
"255",0
"256",0
"257",0
"258",0
"259",12.530063073868
"260",75.1803784432078
"261",0
"262",0
"263",0
"264",0
"265",0
"266",5.22085961411165
"267",0
"268",0
"269",1.04417192282233
"270",0
"271",504.335038723186
"272",359.195141450882
"273",2.08834384564466
"274",3.13251576846699
"275",0
"276",14.6184069195126
"277",0
"278",0
"279",40.7227049900709
"280",0
"281",0
"282",116.947255356101
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",24.0159542249136
"291",0
"292",0
"293",406.182877977887
"294",1.04417192282233
"295",89.7987853627204
"296",0
"297",8.35337538257864
"298",0
"299",0
"300",3.13251576846699
"301",0
"302",87.7104415170758
"303",12.530063073868
"304",0
"305",0
"306",0
"307",577.427073320749
"308",57.4294557552282
"309",0
"310",0
"311",6.26503153693398
"312",71.0036907519185
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",48.0319084498272
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",1.04417192282233
"327",0
"328",0
"329",0
"330",1.04417192282233
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",275.661387625095
"344",0
"345",395.741158749663
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",256.866293014293
"355",11.4858911510456
"356",0
"357",0
"358",0
"359",0
"360",288.191450698963
"361",0
"362",0
"363",0
"364",0
"365",2.08834384564466
"366",0
"367",0
"368",385.29943952144
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",7.30920345975631
"378",0
"379",0
"380",936.62221477163
"381",0
"382",0
"383",6.26503153693398
"384",0
"385",408.271221823531
"386",0
"387",0
"388",49.0760803726495
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",28.1926419162029
"397",0
"398",0
"399",105.461364205055
"400",0
"401",356.062625682415
"402",0
"403",0
"404",0
"405",0
"406",129.477318429969
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",31.3251576846699
"415",151.404928809238
"416",2.08834384564466
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",454.214786427714
"433",0
"434",0
"435",0
"436",7.30920345975631
"437",0
"438",0
"439",275.661387625095
"440",0
"441",0
"442",0
"443",33.4135015303146
"444",0
"445",16.7067507651573
"446",0
"447",0
"448",1.04417192282233
"449",1069.23204897007
"450",624.414809847754
"451",689.153469062738
"452",323.693296074922
"453",193.171805722131
"454",24.0159542249136
"455",217.187759947045
"456",161.846648037461
"457",67.8711749834515
"458",513.732586028587
"459",3.13251576846699
"460",994.051670526859
"461",0
"462",5.22085961411165
"463",0
"464",18.7950946108019
"465",469.877365270049
"466",334.135015303146
"467",546.101915636079
"468",3.13251576846699
"469",51.1644242182942
"470",782.084770193926
"471",69.9595188290961
"472",190.039289953664
"473",148.272413040771
"474",243.292058017603
"475",722.566970593053
"476",29.2368138390252
"477",392.608642981196
"478",0
"479",34.4576734531369
"480",1.04417192282233
"481",22.9717823020913
"482",0
"483",3.13251576846699
"484",14.6184069195126
"485",25.0601261477359
"486",34.4576734531369
"487",122.168114970213
"488",0
"489",0
"490",0
"491",184.818430339552
"492",637.989044844444
"493",824.895819029641
"494",22.9717823020913
"495",2.08834384564466
"496",82.4895819029641
"497",0
"498",0
"499",0
"500",7.30920345975631
"501",1.04417192282233
"502",0
"503",0
"504",0
"505",0
"506",1.04417192282233
"507",0
"508",112.770567664812
"509",67.8711749834515
"510",1.04417192282233
"511",28.1926419162029
"512",968.991544379123
"513",0
"514",299.677341850009
"515",6.26503153693398
"516",80.4012380573194
"517",0
"518",0
"519",616.061434465175
"520",29.2368138390252
"521",0
"522",1.04417192282233
"523",628.591497539043
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",706.904391750718
"531",80.4012380573194
"532",0
"533",0
"534",0
"535",346.665078377014
"536",0
"537",1.04417192282233
"538",0
"539",166.023335728751
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",51.1644242182942
"547",462.568161810292
"548",0
"549",39.6785330672486
"550",0
"551",0
"552",1.04417192282233
"553",76.2245503660301
"554",2.08834384564466
"555",0
"556",69.9595188290961
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",16.7067507651573
"564",0
"565",723.611142515875
"566",0
"567",0
"568",0
"569",0
"570",4.17668769128932
"571",32.3693296074922
"572",0
"573",0
"574",0
"575",0
"576",0
"577",12.530063073868
"578",0
"579",12.530063073868
"580",0
"581",0
"582",319.516608383633
"583",403.05036220942
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",372.769376447572
"594",0
"595",0
"596",0
"597",0
"598",228.67365109809
"599",0
"600",0
"601",1.04417192282233
"602",17.7509226879796
"603",0
"604",187.950946108019
"605",0
"606",0
"607",0
"608",10.4417192282233
"609",185.862602262375
"610",1085.93879973522
"611",8.35337538257864
"612",291.32396646743
"613",0
"614",0
"615",0
"616",376.946064138861
"617",0
"618",0
"619",1161.11917817843
"620",0
"621",74.1362065203855
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",4.17668769128932
"631",224.496963406801
"632",0
"633",0
"634",14.6184069195126
"635",0
"636",0
"637",0
"638",0
"639",3.13251576846699
"640",0
"641",4.17668769128932
"642",0
"643",1.04417192282233
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",11.4858911510456
"655",0
"656",21.9276103792689
"657",0
"658",0
"659",0
"660",33.4135015303146
"661",0
"662",0
"663",0
"664",597.266339854373
"665",0
"666",0
"667",0
"668",0
"669",0
